version,size_test,size_training,error_NB,recall_NB,precision_NB,fscore_NB,gscore_NB,mcc_NB,auc_NB,aucec_NB,tpr_NB,tnr_NB,fpr_NB,fnr_NB,tp_NB,fn_NB,tn_NB,fp_NB,error_RF,recall_RF,precision_RF,fscore_RF,gscore_RF,mcc_RF,auc_RF,aucec_RF,tpr_RF,tnr_RF,fpr_RF,fnr_RF,tp_RF,fn_RF,tn_RF,fp_RF,error_DT,recall_DT,precision_DT,fscore_DT,gscore_DT,mcc_DT,auc_DT,aucec_DT,tpr_DT,tnr_DT,fpr_DT,fnr_DT,tp_DT,fn_DT,tn_DT,fp_DT,error_LR,recall_LR,precision_LR,fscore_LR,gscore_LR,mcc_LR,auc_LR,aucec_LR,tpr_LR,tnr_LR,fpr_LR,fnr_LR,tp_LR,fn_LR,tn_LR,fp_LR,error_NET,recall_NET,precision_NET,fscore_NET,gscore_NET,mcc_NET,auc_NET,aucec_NET,tpr_NET,tnr_NET,fpr_NET,fnr_NET,tp_NET,fn_NET,tn_NET,fp_NET,error_SVM,recall_SVM,precision_SVM,fscore_SVM,gscore_SVM,mcc_SVM,auc_SVM,aucec_SVM,tpr_SVM,tnr_SVM,fpr_SVM,fnr_SVM,tp_SVM,fn_SVM,tn_SVM,fp_SVM
ant-1.3.csv,112,283,0.23214285714285715,0.8235294117647058,0.3783783783783784,0.5185185185185186,0.7893500391542678,0.44355536357438186,0.8439628482972136,0.7962184873949577,0.8235294117647058,0.7578947368421053,0.24210526315789474,0.17647058823529413,14.0,3.0,72.0,23.0,0.1875,0.17647058823529413,0.3,0.22222222222222224,0.2964626614261651,0.1293366889839984,0.6572755417956656,0.6397058823529412,0.17647058823529413,0.9263157894736842,0.07368421052631578,0.8235294117647058,3.0,14.0,88.0,7.0,0.23214285714285715,0.29411764705882354,0.2631578947368421,0.27777777777777773,0.4373650107991361,0.1402955215580724,0.5452012383900928,0.5787815126050411,0.29411764705882354,0.8526315789473684,0.14736842105263157,0.7058823529411765,5.0,12.0,81.0,14.0,0.16071428571428573,0.11764705882352941,0.4,0.1818181818181818,0.20980615735461802,0.14953802687229736,0.7034055727554179,0.6769957983193269,0.11764705882352941,0.968421052631579,0.031578947368421054,0.8823529411764706,2.0,15.0,92.0,3.0,0.16071428571428573,0.17647058823529413,0.42857142857142855,0.25,0.29803493449781665,0.199172695523003,0.8414860681114551,0.7941176470588233,0.17647058823529413,0.9578947368421052,0.042105263157894736,0.8235294117647058,3.0,14.0,91.0,4.0,0.15178571428571427,0.0,0.0,0.0,0.0,0.0,0.5,0.5530462184873943,0.0,1.0,0.0,1.0,0.0,17.0,95.0,0.0
arc.csv,210,276,0.2571428571428571,0.45454545454545453,0.19230769230769232,0.27027027027027023,0.5734485467399842,0.1639975695890147,0.6540135396518375,0.640259740259739,0.45454545454545453,0.776595744680851,0.22340425531914893,0.5454545454545454,10.0,12.0,146.0,42.0,0.1380952380952381,0.09090909090909091,0.18181818181818182,0.12121212121212123,0.16597125637459437,0.059157097360729854,0.6115812379110251,0.6015151515151506,0.09090909090909091,0.9521276595744681,0.047872340425531915,0.9090909090909091,2.0,20.0,179.0,9.0,0.14285714285714285,0.18181818181818182,0.25,0.2105263157894737,0.3044982698961937,0.1361973635168821,0.5466634429400387,0.5688311688311688,0.18181818181818182,0.9361702127659575,0.06382978723404255,0.8181818181818182,4.0,18.0,176.0,12.0,0.10952380952380952,0.0,0.0,0.0,0.0,-0.02366242621401505,0.6455512572533849,0.6326839826839822,0.0,0.9946808510638298,0.005319148936170213,1.0,0.0,22.0,187.0,1.0,0.10476190476190476,0.0,0.0,0.0,0.0,0.0,0.5553675048355899,0.5519480519480509,0.0,1.0,0.0,1.0,0.0,22.0,188.0,0.0,0.10476190476190476,0.0,0.0,0.0,0.0,0.0,0.5,0.47922077922077944,0.0,1.0,0.0,1.0,0.0,22.0,188.0,0.0
camel-1.0.csv,305,275,0.2098360655737705,0.5833333333333334,0.10606060606060606,0.1794871794871795,0.6742128009878576,0.18033526452351248,0.7565415244596132,0.7480874316939853,0.5833333333333334,0.7986348122866894,0.20136518771331058,0.4166666666666667,7.0,5.0,234.0,59.0,0.06885245901639345,0.0,0.0,0.0,0.0,-0.035288419861628784,0.6938282138794084,0.6915300546448091,0.0,0.9692832764505119,0.030716723549488054,1.0,0.0,12.0,284.0,9.0,0.11475409836065574,0.16666666666666666,0.07407407407407407,0.10256410256410256,0.28195686480799576,0.05567206363365701,0.5193401592718999,0.629508196721312,0.16666666666666666,0.9146757679180887,0.08532423208191127,0.8333333333333334,2.0,10.0,268.0,25.0,0.05245901639344262,0.0,0.0,0.0,0.0,-0.023329399528983927,0.7303754266211604,0.7229508196721286,0.0,0.9863481228668942,0.013651877133105802,1.0,0.0,12.0,289.0,4.0,0.05245901639344262,0.0,0.0,0.0,0.0,-0.023329399528983927,0.8026166097838453,0.7923497267759538,0.0,0.9863481228668942,0.013651877133105802,1.0,0.0,12.0,289.0,4.0,0.03934426229508197,0.0,0.0,0.0,0.0,0.0,0.5,0.6169398907103824,0.0,1.0,0.0,1.0,0.0,12.0,293.0,0.0
poi-1.5.csv,213,286,0.41784037558685444,0.3968253968253968,0.7936507936507936,0.5291005291005291,0.5411730291063331,0.26645807255881726,0.7247765006385696,0.5941575378195072,0.3968253968253968,0.8505747126436781,0.14942528735632185,0.6031746031746031,50.0,76.0,74.0,13.0,0.4084507042253521,0.38095238095238093,0.8421052631578947,0.5245901639344263,0.5347043701799485,0.3081162360203001,0.7381864623243933,0.5998211491169221,0.38095238095238093,0.896551724137931,0.10344827586206896,0.6190476190476191,48.0,78.0,78.0,9.0,0.5305164319248826,0.15873015873015872,0.7407407407407407,0.261437908496732,0.27072758037225036,0.11563892208528449,0.54757343550447,0.5146061554512252,0.15873015873015872,0.9195402298850575,0.08045977011494253,0.8412698412698413,20.0,106.0,80.0,7.0,0.49295774647887325,0.21428571428571427,0.8181818181818182,0.33962264150943394,0.3483870967741935,0.19741386643771971,0.6938058748403576,0.5815634548028897,0.21428571428571427,0.9310344827586207,0.06896551724137931,0.7857142857142857,27.0,99.0,81.0,6.0,0.5727699530516432,0.03968253968253968,0.8333333333333334,0.07575757575757576,0.07630201401827699,0.08374382292202567,0.7345831052727605,0.5982189432893642,0.03968253968253968,0.9885057471264368,0.011494252873563218,0.9603174603174603,5.0,121.0,86.0,1.0,0.5915492957746479,0.0,0.0,0.0,0.0,0.0,0.5,0.4916908860570824,0.0,1.0,0.0,1.0,0.0,126.0,87.0,0.0
redaktor.csv,158,148,0.3291139240506329,0.6363636363636364,0.2413793103448276,0.35,0.6558044806517311,0.22468860989830858,0.6886697860962567,0.6654200230149605,0.6363636363636364,0.6764705882352942,0.3235294117647059,0.36363636363636365,14.0,8.0,92.0,44.0,0.12025316455696203,0.45454545454545453,0.5882352941176471,0.5128205128205129,0.6145783706526917,0.45033167620554765,0.6925133689839572,0.666283084004604,0.45454545454545453,0.9485294117647058,0.051470588235294115,0.5454545454545454,10.0,12.0,129.0,7.0,0.22151898734177214,0.5909090909090909,0.3333333333333333,0.4262295081967213,0.6829035339063992,0.3209553363410908,0.7134024064171123,0.6651323360184122,0.5909090909090909,0.8088235294117647,0.19117647058823528,0.4090909090909091,13.0,9.0,110.0,26.0,0.12025316455696203,0.36363636363636365,0.6153846153846154,0.4571428571428572,0.5279596977329974,0.41181521008713373,0.7284425133689839,0.6996547756041411,0.36363636363636365,0.9632352941176471,0.03676470588235294,0.6363636363636364,8.0,14.0,131.0,5.0,0.16455696202531644,0.36363636363636365,0.4,0.380952380952381,0.519916142557652,0.2867423736924929,0.60076871657754,0.5897583429228999,0.36363636363636365,0.9117647058823529,0.08823529411764706,0.6363636363636364,8.0,14.0,124.0,12.0,0.13924050632911392,0.0,0.0,0.0,0.0,0.0,0.5,0.4392980437284231,0.0,1.0,0.0,1.0,0.0,22.0,136.0,0.0
skarbonka.csv,40,149,0.325,0.5555555555555556,0.35714285714285715,0.43478260869565216,0.623229461756374,0.23220893480841856,0.7455197132616488,0.7027777777777782,0.5555555555555556,0.7096774193548387,0.2903225806451613,0.4444444444444444,5.0,4.0,22.0,9.0,0.25,0.0,0.0,0.0,0.0,-0.08627959628145761,0.6075268817204301,0.5916666666666669,0.0,0.967741935483871,0.03225806451612903,1.0,0.0,9.0,30.0,1.0,0.225,0.1111111111111111,0.5,0.1818181818181818,0.19933554817275748,0.15108236796222702,0.5376344086021505,0.5194444444444446,0.1111111111111111,0.967741935483871,0.03225806451612903,0.8888888888888888,1.0,8.0,30.0,1.0,0.275,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.3540983606557377,0.10898234854603565,0.7060931899641577,0.6722222222222226,0.2222222222222222,0.8709677419354839,0.12903225806451613,0.7777777777777778,2.0,7.0,27.0,4.0,0.225,0.0,0.0,0.0,0.0,0.0,0.7634408602150538,0.7166666666666671,0.0,1.0,0.0,1.0,0.0,9.0,31.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.5,0.5111111111111112,0.0,1.0,0.0,1.0,0.0,9.0,31.0,0.0
tomcat.csv,772,286,0.2189119170984456,0.7014925373134329,0.23979591836734693,0.3574144486692015,0.7425234773466691,0.3170423486113445,0.8425955329734307,0.8135101693604548,0.7014925373134329,0.7886524822695036,0.21134751773049645,0.29850746268656714,47.0,20.0,556.0,149.0,0.11010362694300518,0.23880597014925373,0.32,0.27350427350427353,0.38181268559844944,0.21799847112423448,0.7218693765216471,0.7034258758023364,0.23880597014925373,0.9517730496453901,0.04822695035460993,0.7611940298507462,16.0,51.0,671.0,34.0,0.11528497409326424,0.19402985074626866,0.2708333333333333,0.22608695652173913,0.32226436037369344,0.16833038356394753,0.401376098232243,0.4218931250483331,0.19402985074626866,0.950354609929078,0.04964539007092199,0.8059701492537313,13.0,54.0,670.0,35.0,0.10362694300518134,0.11940298507462686,0.27586206896551724,0.16666666666666663,0.21263697831662393,0.13268532813382278,0.7206308881126283,0.7021305390147741,0.11940298507462686,0.9702127659574468,0.029787234042553193,0.8805970149253731,8.0,59.0,684.0,21.0,0.08808290155440414,0.029850746268656716,0.4,0.05555555555555556,0.05796383453059203,0.08982798480814073,0.7494230972795597,0.728423942463852,0.029850746268656716,0.9957446808510638,0.00425531914893617,0.9701492537313433,2.0,65.0,702.0,3.0,0.08678756476683938,0.0,0.0,0.0,0.0,0.0,0.5,0.49410331760884824,0.0,1.0,0.0,1.0,0.0,67.0,705.0,0.0
velocity-1.4.csv,176,304,0.6590909090909091,0.18181818181818182,0.75,0.2926829268292683,0.2975206611570248,0.0,0.4252754820936639,0.4841597796143246,0.18181818181818182,0.8181818181818182,0.18181818181818182,0.8181818181818182,24.0,108.0,36.0,8.0,0.6704545454545454,0.12121212121212122,0.8888888888888888,0.21333333333333335,0.2151088348271447,0.10826163374360515,0.48080234159779617,0.49849345730027506,0.12121212121212122,0.9545454545454546,0.045454545454545456,0.8787878787878788,16.0,116.0,42.0,2.0,0.7272727272727273,0.05303030303030303,0.7,0.09859154929577466,0.10034965034965036,-0.02834101006325679,0.5204028925619835,0.5234590220385672,0.05303030303030303,0.9318181818181818,0.06818181818181818,0.946969696969697,7.0,125.0,41.0,3.0,0.75,0.03787878787878788,0.5,0.07042253521126761,0.0726527570789866,-0.14170505031628394,0.4865702479338843,0.4994834710743795,0.03787878787878788,0.8863636363636364,0.11363636363636363,0.9621212121212122,5.0,127.0,39.0,5.0,0.7727272727272727,0.007575757575757576,0.16666666666666666,0.014492753623188406,0.0150231124807396,-0.25308553412176554,0.38550275482093666,0.4742165977961427,0.007575757575757576,0.8863636363636364,0.11363636363636363,0.9924242424242424,1.0,131.0,39.0,5.0,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.5205320247933882,0.0,1.0,0.0,1.0,0.0,132.0,44.0,0.0
xalan-2.4.csv,650,339,0.2953846153846154,0.7254901960784313,0.31092436974789917,0.43529411764705883,0.7128951329653788,0.32180088099982396,0.7870509517675683,0.7427752639517302,0.7254901960784313,0.7007299270072993,0.29927007299270075,0.27450980392156865,74.0,28.0,384.0,164.0,0.19846153846153847,0.27450980392156865,0.3373493975903614,0.3027027027027027,0.42066128294987054,0.18978872191069046,0.7229676542149707,0.6884162895927548,0.27450980392156865,0.8996350364963503,0.10036496350364964,0.7254901960784313,28.0,74.0,493.0,55.0,0.27076923076923076,0.4215686274509804,0.26875,0.3282442748091603,0.5489144921955987,0.17568363887790023,0.5403248890797194,0.5299095022624432,0.4215686274509804,0.7864963503649635,0.21350364963503649,0.5784313725490197,43.0,59.0,431.0,117.0,0.17846153846153845,0.28431372549019607,0.4027777777777778,0.33333333333333337,0.43455683807602147,0.23856341177320048,0.7243988836410477,0.6899547511312177,0.28431372549019607,0.9215328467153284,0.07846715328467153,0.7156862745098039,29.0,73.0,505.0,43.0,0.17076923076923076,0.21568627450980393,0.41509433962264153,0.2838709677419355,0.35110356536502546,0.21148601776953638,0.752379418920853,0.7135444947209616,0.21568627450980393,0.9434306569343066,0.05656934306569343,0.7843137254901961,22.0,80.0,517.0,31.0,0.15692307692307692,0.0,0.0,0.0,0.0,0.0,0.5,0.47256410256410236,0.0,1.0,0.0,1.0,0.0,102.0,548.0,0.0
xerces-1.2.csv,396,324,0.22474747474747475,0.2786885245901639,0.27419354838709675,0.2764227642276423,0.4216378020098354,0.14340543684739637,0.45676535356006853,0.46501904288789647,0.2786885245901639,0.8656716417910447,0.13432835820895522,0.7213114754098361,17.0,44.0,290.0,45.0,0.16666666666666666,0.19672131147540983,0.41379310344827586,0.26666666666666666,0.3259031514219831,0.20227113027015262,0.5673354538781502,0.5590329524755753,0.19672131147540983,0.9492537313432836,0.050746268656716415,0.8032786885245902,12.0,49.0,318.0,17.0,0.25,0.19672131147540983,0.1935483870967742,0.1951219512195122,0.319551506657323,0.04715365211592355,0.5790066063126988,0.5730667329027983,0.19672131147540983,0.8507462686567164,0.14925373134328357,0.8032786885245902,12.0,49.0,285.0,50.0,0.18181818181818182,0.14754098360655737,0.3103448275862069,0.2,0.2550607287449393,0.12171527952897217,0.47780768289699044,0.48282000331180663,0.14754098360655737,0.9402985074626866,0.05970149253731343,0.8524590163934426,9.0,52.0,315.0,20.0,0.17424242424242425,0.09836065573770492,0.3,0.14814814814814814,0.1784076698624427,0.09325273816040977,0.4211402006361634,0.43488160291438965,0.09836065573770492,0.9582089552238806,0.041791044776119404,0.9016393442622951,6.0,55.0,321.0,14.0,0.15404040404040403,0.0,0.0,0.0,0.0,0.0,0.5,0.5233896340453712,0.0,1.0,0.0,1.0,0.0,61.0,335.0,0.0
