"","fscore_NB","auc_NB","fscore_RF","auc_RF","fscore_DT","auc_DT","fscore_LR","auc_LR","fscore_NET","auc_NET","fscore_SVM","auc_SVM","fscore_NB","auc_NB","fscore_RF","auc_RF","fscore_DT","auc_DT","fscore_LR","auc_LR","fscore_NET","auc_NET","fscore_SVM","auc_SVM"
"1",0.50402029006926,0.778309651548214,0.340622499264132,0.772235835320068,0.432173662415103,0.590857984057695,0.575887240870356,0.743020255398431,0.360320284398378,0.742052141722622,0,0.5,0.0499941791205891,0.0559263643179316,0.057631820225016,0.0428448323895804,0.0556893163511478,0.0330993851613854,0.0760769770380248,0.136040893421924,0.120069909013561,0.0676624805709551,0,0
"2",0.402385839078439,0.633921267646515,0.508195894003001,0.799949242795732,0.414437137811878,0.644573515191494,0.267096201225314,0.521645070322547,0.333625728162109,0.66898177306108,0.123022919971808,0.541919544405568,0.0624717383461758,0.0824688475804389,0.0654405577734064,0.0121486246786086,0.0903274370943445,0.0782734956585567,0.152104277666839,0.0936868330346192,0.241210330740499,0.162008965905886,0.181517814147559,0.0745998464940981
"3",0.314444803273675,0.651934986353247,0.357268606038748,0.803689878267953,0.250844142990979,0.67562393506972,0.171846064434048,0.545975357422493,0.266304912456988,0.669724594667014,0,0.5,0.0662872904864685,0.0358623528771658,0.070299681158412,0.0338546354302592,0.084804772504544,0.0469288559990596,0.0685469470296337,0.0683281017591935,0.129691855690432,0.0868943337033207,0,0
"4",0.281444016252913,0.608226448037231,0.309548819296895,0.719053495971847,0.220073670742055,0.560002463982866,0.244179377417935,0.60072075813035,0.237463388593164,0.669096614710287,0,0.5,0.0370683318724141,0.0505565072469978,0.0439400867046374,0.0354753102492911,0.120507175529395,0.0733415978982642,0.0955664549592939,0.0736593775191891,0.131372228600817,0.0901258716026435,0,0
"5",0.297164444434657,0.578759109284984,0.318578336150163,0.716391480707812,0.245430292251334,0.53076389384685,0.167453944630927,0.535097433319887,0.285898871074141,0.69452055173237,0.0178082888380371,0.497894317556516,0.0413289076938669,0.0500501135882645,0.0368504165989245,0.019524320981673,0.0579709279227138,0.0704375918834054,0.140228682856496,0.0903677580222919,0.0745464044465946,0.100399059497529,0.0530069707430344,0.00507336307820918
"6",0.401406219416306,0.734626260831368,0.266647952533932,0.669608345291783,0.243379942271235,0.549086948196659,0.317301297794371,0.665548362926068,0.256748470586068,0.693095525609851,0,0.5,0.143487095812419,0.0916759146732609,0.164757023205697,0.0896791212491845,0.125108404788852,0.0970968949505179,0.131291414781556,0.0981004782569349,0.170928035077751,0.112201769987198,0,0
"7",0.0993958030042459,0.480655388852466,0.199231399699349,0.665895148685989,0.225851459999736,0.573993563095763,0.152390413176321,0.525310036547928,0.174163866231927,0.573671702855145,0,0.5,0.098824305811244,0.135685864849593,0.108356876032139,0.0589270067787448,0.126484210166534,0.0893277152567813,0.0892482831339364,0.124794928636527,0.109467228445869,0.157086387675468,0,0
"8",0.0479443929564412,0.590734946881923,0.0748819466382428,0.587751646885848,0.0767214193551016,0.577016775314799,0.0879169471915857,0.550149563756692,0.0329338243290071,0.544866644657174,0,0.5,0.0754127049531273,0.0538438801997878,0.04150946451163,0.0813438651011496,0.0465351863683617,0.0790184473975463,0.043607685048019,0.0858697816849335,0.0431403640635524,0.104126183331196,0,0
"9",0.0656139380029113,0.57132162639876,0.561147171654837,0.55277397886808,0.507306784910831,0.513719650300464,0.535085150389233,0.536048822599661,0.403545833986245,0.510095594930484,0,0.5,0.158239909532807,0.0865627831939379,0.297020860242844,0.0778853848942599,0.318610794745361,0.0679086443876435,0.365930309553824,0.0871670876035487,0.359217156218752,0.124071822037304,0,0
"10",0.0467207572684246,0.550537850973879,0.207917993254004,0.552031227298186,0.206338591659327,0.525520222671261,0.168490116680008,0.480404511232261,0.154159804460633,0.524293728066555,0.0527472527472527,0.5,0.104929363124731,0.13723072267206,0.138686092808986,0.141654764303522,0.151928261148766,0.0796583558022571,0.124134039510869,0.0772477741946004,0.139934067679758,0.11242270073091,0.111200972665262,0
